"";"dOTU";"ShaOTU";"genus";"spp"
"69";"ASV_1004_Pelagomonadaceae_clade_C_sp.";"ASV_1004";"Pelagomonadaceae_clade_C";"Pelagomonadaceae_clade_C_sp."
"70";"ASV_205_Aureococcus_anophagefferens";"ASV_205";"Aureococcus";"Aureococcus_anophagefferens"
"71";"ASV_1092_Pelagomonas_calceolata";"ASV_1092";"Pelagomonas";"Pelagomonas_calceolata"
"72";"ASV_597_Chloropicon_sieburthii";"ASV_597";"Chloropicon";"Chloropicon_sieburthii"
"73";"ASV_404_Chloroparvula_pacifica";"ASV_404";"Chloroparvula";"Chloroparvula_pacifica"
"74";"ASV_52_Ostreococcus_lucimarinus";"ASV_52";"Ostreococcus";"Ostreococcus_lucimarinus"
"75";"ASV_115_Minutocellus_polymorphus";"ASV_115";"Minutocellus";"Minutocellus_polymorphus"
"76";"ASV_446_Cylindrotheca_closterium";"ASV_446";"Cylindrotheca";"Cylindrotheca_closterium"
"77";"ASV_2_Ostreococcus_lucimarinus";"ASV_2";"Ostreococcus";"Ostreococcus_lucimarinus"
"78";"ASV_1347_Pelagomonadaceae_clade_C_sp.";"ASV_1347";"Pelagomonadaceae_clade_C";"Pelagomonadaceae_clade_C_sp."
"79";"ASV_31_Plagioselmis_prolonga";"ASV_31";"Plagioselmis";"Plagioselmis_prolonga"
"80";"ASV_49_Phaeocystis_globosa";"ASV_49";"Phaeocystis";"Phaeocystis_globosa"
"81";"ASV_82_Pelagomonadales_clade_B1_sp.";"ASV_82";"Pelagomonadales_clade_B1";"Pelagomonadales_clade_B1_sp."
"82";"ASV_44_Plagioselmis_prolonga";"ASV_44";"Plagioselmis";"Plagioselmis_prolonga"
"83";"ASV_1862_Crustomastigaceae_X_sp.";"ASV_1862";"Crustomastigaceae_X";"Crustomastigaceae_X_sp."
"84";"ASV_985_Non_Assigned";"ASV_985";"Thalassiosira";NA
"85";"ASV_668_Pelagomonadaceae_clade_C_sp.";"ASV_668";"Pelagomonadaceae_clade_C";"Pelagomonadaceae_clade_C_sp."
"86";"ASV_255_Katablepharidales_XX_sp.";"ASV_255";"Katablepharidales_XX";"Katablepharidales_XX_sp."
"87";"ASV_30_Picochlorum_sp.";"ASV_30";"Picochlorum";"Picochlorum_sp."
"88";"ASV_2680_Brockmanniella brockmannii";"ASV_2680";"Brockmanniella";"Brockmanniella brockmannii"
"89";"ASV_1312_Brockmanniella brockmannii";"ASV_1312";"Brockmanniella";"Brockmanniella brockmannii"
"90";"ASV_144_Chaetoceros_tenuissimus";"ASV_144";"Chaetoceros";"Chaetoceros_tenuissimus"
"91";"ASV_1171_Non_Assigned";"ASV_1171";"Thalassiosira";NA
"92";"ASV_690_Chloroparvula_pacifica";"ASV_690";"Chloroparvula";"Chloroparvula_pacifica"
