"";"Grouping";"species";"labelit";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"46";"Fla";"ASV_885_Micromonas_pusilla";FALSE;19;52;0,1;0;0,2;99,8;1,7;70,4
"47";"Fla";"ASV_906_Micromonas_pusilla";FALSE;20;44;0,1;0;0,1;99,9;1,6;74,1
"48";"Fla";"ASV_1363_Micromonas_pusilla";FALSE;21;24;0;0;0,1;99,9;1,4;77,8
"49";"Fla";"ASV_1997_Crustomastigaceae_X_sp.";FALSE;22;11;0;0;0;99,9;1;81,5
"50";"Fla";"ASV_2098_Crustomastigaceae_X_sp.";FALSE;23;7;0;0;0;100;0,8;85,2
"51";"Fla";"ASV_1862_Crustomastigaceae_X_sp.";FALSE;24;7;0;0;0;100;0,8;88,9
"52";"Fla";"ASV_1173_Micromonas_bravo_B2";FALSE;25;5;0;0;0;100;0,7;92,6
"53";"Fla";"ASV_1153_Micromonas_bravo_B2";FALSE;26;4;0;0;0;100;0,6;96,3
"54";"Fla";"ASV_1436_Micromonas_bravo_B2";FALSE;27;3;0;0;0;100;0,5;100
"55";"Hu";"ASV_1_Ostreococcus_lucimarinus";TRUE;1;80511;33,1;32,1;34,2;33,1;4,9;3,7
"56";"Hu";"ASV_2_Ostreococcus_lucimarinus";TRUE;2;60783;25;24,2;25,8;58,1;4,8;7,4
"57";"Hu";"ASV_4_Ostreococcus_lucimarinus";TRUE;3;56499;23,2;22,4;24,1;81,4;4,8;11,1
"58";"Hu";"ASV_10_Bathycoccus_prasinos";TRUE;4;5535;2,3;1,5;3,1;83,7;3,7;14,8
"59";"Hu";"ASV_15_Micromonas_bravo_B1";TRUE;5;4342;1,8;1,1;2,5;85,4;3,6;18,5
"60";"Hu";"ASV_21_Micromonas_commoda_A2";TRUE;6;4337;1,8;1,4;2,2;87,2;3,6;22,2
"61";"Hu";"ASV_13_Bathycoccus_prasinos";TRUE;7;4214;1,7;1,2;2,3;89;3,6;25,9
"62";"Hu";"ASV_14_Bathycoccus_prasinos";TRUE;8;4012;1,7;1,1;2,2;90,6;3,6;29,6
"63";"Hu";"ASV_35_Ostreococcus_lucimarinus";TRUE;9;3632;1,5;1,4;1,6;92,1;3,6;33,3
"64";"Hu";"ASV_23_Micromonas_bravo_B1";TRUE;10;3309;1,4;0,8;1,9;93,5;3,5;37
"65";"Hu";"ASV_33_Micromonas_commoda_A2";FALSE;11;3218;1,3;1;1,6;94,8;3,5;40,7
"66";"Hu";"ASV_37_Micromonas_commoda_A2";FALSE;12;3104;1,3;0,9;1,6;96,1;3,5;44,4
"67";"Hu";"ASV_26_Micromonas_bravo_B1";FALSE;13;3016;1,2;0,7;1,7;97,3;3,5;48,1
"68";"Hu";"ASV_52_Ostreococcus_lucimarinus";FALSE;14;2827;1,2;1,1;1,2;98,5;3,5;51,9
"69";"Hu";"ASV_63_Ostreococcus_lucimarinus";FALSE;15;2569;1,1;1;1,1;99,5;3,4;55,6
"70";"Hu";"ASV_235_Crustomastigaceae_X_sp.";FALSE;16;463;0,2;0,1;0,3;99,7;2,7;59,3
"71";"Hu";"ASV_359_Ostreococcus_lucimarinus";FALSE;17;329;0,1;0;0,3;99,9;2,5;63
"72";"Hu";"ASV_736_Micromonas_pusilla";FALSE;18;71;0;0;0;99,9;1,9;66,7
"73";"Hu";"ASV_885_Micromonas_pusilla";FALSE;19;53;0;0;0;99,9;1,7;70,4
"74";"Hu";"ASV_906_Micromonas_pusilla";FALSE;20;46;0;0;0;99,9;1,7;74,1
"75";"Hu";"ASV_1862_Crustomastigaceae_X_sp.";FALSE;21;32;0;0;0;99,9;1,5;77,8
"76";"Hu";"ASV_1153_Micromonas_bravo_B2";FALSE;22;29;0;0;0;100;1,5;81,5
"77";"Hu";"ASV_1173_Micromonas_bravo_B2";FALSE;23;28;0;0;0;100;1,4;85,2
"78";"Hu";"ASV_1363_Micromonas_pusilla";FALSE;24;27;0;0;0;100;1,4;88,9
"79";"Hu";"ASV_1997_Crustomastigaceae_X_sp.";FALSE;25;24;0;0;0;100;1,4;92,6
"80";"Hu";"ASV_1436_Micromonas_bravo_B2";FALSE;26;22;0;0;0;100;1,3;96,3
"81";"Hu";"ASV_2098_Crustomastigaceae_X_sp.";FALSE;27;19;0;0;0;100;1,3;100
"82";"Pc";"ASV_1_Ostreococcus_lucimarinus";TRUE;1;15324;26,8;26;27,6;26,8;4,2;3,7
"83";"Pc";"ASV_2_Ostreococcus_lucimarinus";TRUE;2;11934;20,9;20;21,8;47,7;4,1;7,4
"84";"Pc";"ASV_4_Ostreococcus_lucimarinus";TRUE;3;10798;18,9;18,2;19,7;66,6;4;11,1
"85";"Pc";"ASV_10_Bathycoccus_prasinos";TRUE;4;2917;5,1;4,6;5,6;71,7;3,5;14,8
"86";"Pc";"ASV_13_Bathycoccus_prasinos";TRUE;5;2358;4,1;3,6;4,7;75,9;3,4;18,5
"87";"Pc";"ASV_14_Bathycoccus_prasinos";TRUE;6;2139;3,7;3,5;4;79,6;3,3;22,2
"88";"Pc";"ASV_15_Micromonas_bravo_B1";TRUE;7;2082;3,6;3;4,3;83,3;3,3;25,9
"89";"Pc";"ASV_23_Micromonas_bravo_B1";TRUE;8;1601;2,8;2,4;3,2;86,1;3,2;29,6
"90";"Pc";"ASV_21_Micromonas_commoda_A2";TRUE;9;1561;2,7;2,6;2,9;88,8;3,2;33,3
"91";"Pc";"ASV_26_Micromonas_bravo_B1";TRUE;10;1512;2,6;2,1;3,1;91,5;3,2;37
"92";"Pc";"ASV_33_Micromonas_commoda_A2";FALSE;11;1237;2,2;2;2,4;93,6;3,1;40,7
"93";"Pc";"ASV_37_Micromonas_commoda_A2";FALSE;12;1043;1,8;1,6;2;95,4;3;44,4
"94";"Pc";"ASV_35_Ostreococcus_lucimarinus";FALSE;13;758;1,3;1,1;1,5;96,8;2,9;48,1
"95";"Pc";"ASV_63_Ostreococcus_lucimarinus";FALSE;14;519;0,9;0,8;1;97,7;2,7;51,9
"96";"Pc";"ASV_52_Ostreococcus_lucimarinus";FALSE;15;497;0,9;0,7;1,1;98,6;2,7;55,6
"97";"Pc";"ASV_235_Crustomastigaceae_X_sp.";FALSE;16;301;0,5;0,4;0,7;99,1;2,5;59,3
"98";"Pc";"ASV_359_Ostreococcus_lucimarinus";FALSE;17;96;0,2;0;0,3;99,2;2;63
"99";"Pc";"ASV_736_Micromonas_pusilla";FALSE;18;73;0,1;0,1;0,2;99,4;1,9;66,7
"100";"Pc";"ASV_1173_Micromonas_bravo_B2";FALSE;19;71;0,1;0;0,2;99,5;1,9;70,4
"101";"Pc";"ASV_1153_Micromonas_bravo_B2";FALSE;20;65;0,1;0;0,2;99,6;1,8;74,1
"102";"Pc";"ASV_906_Micromonas_pusilla";FALSE;21;62;0,1;0,1;0,2;99,7;1,8;77,8
"103";"Pc";"ASV_885_Micromonas_pusilla";FALSE;22;61;0,1;0,1;0,2;99,8;1,8;81,5
"104";"Pc";"ASV_1436_Micromonas_bravo_B2";FALSE;23;46;0,1;0,1;0,1;99,9;1,7;85,2
"105";"Pc";"ASV_1363_Micromonas_pusilla";FALSE;24;33;0,1;0;0,1;100;1,5;88,9
"106";"Pc";"ASV_2098_Crustomastigaceae_X_sp.";FALSE;25;8;0;0;0;100;0,9;92,6
"107";"Pc";"ASV_1997_Crustomastigaceae_X_sp.";FALSE;26;6;0;0;0;100;0,8;96,3
"108";"Pc";"ASV_1862_Crustomastigaceae_X_sp.";FALSE;27;5;0;0;0;100;0,7;100
