;Grouping;species;labelit;rank;abundance;proportion;plower;pupper;accumfreq;logabun;rankfreq
48;Hu;ASV_116 Pelagomonadales clade B1 sp.;TRUE;6;614;7;4,8;9,3;68,1;2,8;16,7
49;Hu;ASV_152 A. anophagefferens;TRUE;7;501;5,7;3,8;7,7;73,8;2,7;19,4
50;Hu;ASV_205 A. anophagefferens;TRUE;8;457;5,2;3,1;7,4;79,1;2,7;22,2
51;Hu;ASV_193 A. anophagefferens;TRUE;9;422;4,8;3,5;6,2;83,9;2,6;25
52;Hu;ASV_157 Pelagomonadales clade B1 sp.;TRUE;10;407;4,7;3,5;5,8;88,6;2,6;27,8
53;Hu;ASV_298_Aureococcus_anophagefferens;FALSE;11;287;3,3;2,4;4,2;91,9;2,5;30,6
54;Hu;ASV_412_Paraphysomonas_imperforata;FALSE;12;111;1,3;-0,8;3,3;93,2;2;33,3
55;Hu;ASV_642_Florenciella_parvula;FALSE;13;82;0,9;-0,7;2,6;94,1;1,9;36,1
56;Hu;ASV_471_Chrysophyceae_Clade-H_X_sp.;FALSE;14;71;0,8;-0,5;2,1;94,9;1,9;38,9
57;Hu;ASV_502_Pelagomonadaceae_clade_D1_sp.;FALSE;15;62;0,7;0,2;1,2;95,6;1,8;41,7
58;Hu;ASV_593_Non_Assigned;FALSE;16;54;0,6;0,3;0,9;96,2;1,7;44,4
59;Hu;ASV_1295_Florenciellales_X_sp.;FALSE;17;49;0,6;-0,5;1,6;96,8;1,7;47,2
60;Hu;ASV_633_Pelagomonadaceae_clade_D1_sp.;FALSE;18;45;0,5;0,2;0,8;97,3;1,7;50
61;Hu;ASV_835_Pelagomonas_calceolata;FALSE;19;41;0,5;-0,3;1,2;97,8;1,6;52,8
62;Hu;ASV_1231_Florenciella_parvula;FALSE;20;29;0,3;-0,2;0,9;98,1;1,5;55,6
63;Hu;ASV_668_Pelagomonadaceae_clade_C_sp.;FALSE;21;28;0,3;0,1;0,6;98,5;1,4;58,3
64;Pc;ASV_40 P. calceolata;TRUE;1;850;21,8;14;29,5;21,8;2,9;2,8
65;Pc;ASV_53 P. calceolata;TRUE;2;760;19,5;12;27;41,2;2,9;5,6
66;Pc;ASV_62 P. calceolata;TRUE;3;689;17,6;11,8;23,5;58,9;2,8;8,3
67;Pc;ASV_152 A. anophagefferens;TRUE;4;191;4,9;2,7;7,1;63,8;2,3;11,1
68;Pc;ASV_82 Pelagomonadales clade B1 sp.;TRUE;5;154;3,9;2,9;5;67,7;2,2;13,9
69;Pc;ASV_193 A. anophagefferens;TRUE;6;150;3,8;2,1;5,6;71,6;2,2;16,7
70;Pc;ASV_106 Pelagomonadales clade B1 sp.;TRUE;7;124;3,2;2,4;4;74,7;2,1;19,4
71;Pc;ASV_116 Pelagomonadales clade B1 sp.;TRUE;8;123;3,2;2,5;3,8;77,9;2,1;22,2
72;Pc;ASV_205 A. anophagefferens;TRUE;9;116;3;2;4;80,9;2,1;25
73;Pc;ASV_298 A. anophagefferens;TRUE;10;97;2,5;1,6;3,4;83,4;2;27,8
74;Pc;ASV_725_Chrysophyceae_Clade-H_X_sp.;FALSE;11;81;2,1;-4,3;8,5;85,4;1,9;30,6
75;Pc;ASV_157_Pelagomonadales_clade_B1_sp.;FALSE;12;73;1,9;0,7;3;87,3;1,9;33,3
76;Pc;ASV_314_Chrysophyceae_Clade-H_X_sp.;FALSE;13;58;1,5;-3,1;6,1;88,8;1,8;36,1
77;Pc;ASV_1364_Chrysophyceae_Clade-H_X_sp.;FALSE;14;51;1,3;-2,7;5,4;90,1;1,7;38,9
78;Pc;ASV_412_Paraphysomonas_imperforata;FALSE;15;40;1;-2,1;4,2;91,1;1,6;41,7
79;Pc;ASV_642_Florenciella_parvula;FALSE;16;40;1;-0,7;2,7;92,1;1,6;44,4
80;Pc;ASV_1218_Chrysophyceae_Clade-H_X_sp.;FALSE;17;38;1;-2;4;93,1;1,6;47,2
81;Pc;ASV_535_Chrysophyceae_Clade-H_X_sp.;FALSE;18;35;0,9;-1,9;3,7;94;1,5;50
82;Pc;ASV_1295_Florenciellales_X_sp.;FALSE;19;34;0,9;-0,1;1,8;94,9;1,5;52,8
83;Pc;ASV_1091_Pelagomonas_calceolata;FALSE;20;29;0,7;-0,5;2;95,6;1,5;55,6
84;Pc;ASV_835_Pelagomonas_calceolata;FALSE;21;25;0,6;-0,4;1,7;96,3;1,4;58,3
