;Grouping;species;labelit;rank;abundance;proportion;plower;pupper;accumfreq;logabun;rankfreq
46;Fla;ASV_192_Chloroparvula_pacifica;FALSE;15;402;1,7;1,2;2,3;92,5;2,6;48,4
47;Fla;ASV_252_Chloroparvula_pacifica;FALSE;16;282;1,2;0,9;1,5;93,7;2,5;51,6
48;Fla;ASV_300_Chloroparvula_pacifica;FALSE;17;246;1,1;0,8;1,4;94,8;2,4;54,8
49;Fla;ASV_404_Chloroparvula_pacifica;FALSE;18;228;1;0,7;1,2;95,7;2,4;58,1
50;Fla;ASV_452_Chloroparvula_pacifica;FALSE;19;205;0,9;0,5;1,2;96,6;2,3;61,3
51;Fla;ASV_510_Chloroparvula_pacifica;FALSE;20;160;0,7;0,5;0,9;97,3;2,2;64,5
63;Hu;ASV_29 C. pacifica;TRUE;1;1120;13,7;6,6;20,8;13,7;3;3,2
64;Hu;ASV_48 C. pacifica;TRUE;2;832;10,2;4,4;16;24;2,9;6,5
65;Hu;ASV_30 Picochlorum sp.;TRUE;3;784;9,6;3,6;15,6;33,6;2,9;9,7
66;Hu;ASV_56 C. pacifica;TRUE;4;665;8,2;2,7;13,6;41,8;2,8;12,9
67;Hu;ASV_65 C. pacifica;TRUE;5;551;6,8;4,1;9,4;48,5;2,7;16,1
68;Hu;ASV_60 Pycnococcaceae X sp.;TRUE;6;514;6,3;1;11,6;54,8;2,7;19,4
69;Hu;ASV_78 C. pacifica;TRUE;7;455;5,6;3,1;8,1;60,4;2,7;22,6
70;Hu;ASV_86 C. pacifica;TRUE;8;374;4,6;1,3;7,8;65;2,6;25,8
71;Hu;ASV_59 Picochlorum sp.;TRUE;9;336;4,1;1,3;7;69,1;2,5;29
72;Hu;ASV_51 Picochlorum sp.;TRUE;10;316;3,9;1,7;6;73;2,5;32,3
73;Hu;ASV_443_Chlorodendrales_XX_sp.;FALSE;11;316;3,9;-4,6;12,4;76,9;2,5;35,5
74;Hu;ASV_94_Pycnococcaceae_X_sp.;FALSE;12;312;3,8;-0,2;7,9;80,7;2,5;38,7
75;Hu;ASV_84_Pycnococcaceae_X_sp.;FALSE;13;297;3,6;-0,6;7,9;84,4;2,5;41,9
76;Hu;ASV_577_Chlorodendrales_XX_sp.;FALSE;14;262;3,2;-3,8;10,3;87,6;2,4;45,2
77;Hu;ASV_192_Chloroparvula_pacifica;FALSE;15;204;2,5;1,3;3,7;90,1;2,3;48,4
78;Hu;ASV_252_Chloroparvula_pacifica;FALSE;16;143;1,8;1;2,5;91,8;2,2;51,6
79;Hu;ASV_181_Chloropicon_laureae;FALSE;17;139;1,7;0,5;3;93,5;2,1;54,8
80;Hu;ASV_404_Chloroparvula_pacifica;FALSE;18;90;1,1;0,2;2;94,6;2;58,1
81;Hu;ASV_140_Pycnococcaceae_X_sp.;FALSE;19;81;1;-0,5;2,4;95,6;1,9;61,3
82;Hu;ASV_452_Chloroparvula_pacifica;FALSE;20;74;0,9;0,2;1,6;96,6;1,9;64,5
