"";"Grouping";"species";"labelit";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"19";"Cha";"ASV_181_Chloropicon_laureae";FALSE;19;167;1;0,6;1,5;95,4;2,2;61,3
"20";"Cha";"ASV_452_Chloroparvula_pacifica";FALSE;20;133;0,8;0,4;1,2;96,2;2,1;64,5
"21";"Cha";"ASV_597_Chloropicon_sieburthii";FALSE;21;128;0,8;0,1;1,5;97;2,1;67,7
"22";"Cha";"ASV_59_Picochlorum_sp.";FALSE;22;121;0,8;-0,3;1,8;97,7;2,1;71
"23";"Cha";"ASV_404_Chloroparvula_pacifica";FALSE;23;105;0,7;0,4;0,9;98,4;2;74,2
"24";"Cha";"ASV_510_Chloroparvula_pacifica";FALSE;24;90;0,6;0,3;0,9;99;2;77,4
"25";"Cha";"ASV_722_Chloroparvula_pacifica";FALSE;25;48;0,3;0,2;0,4;99,3;1,7;80,6
"26";"Cha";"ASV_443_Chlorodendrales_XX_sp.";FALSE;26;47;0,3;-0,2;0,8;99,5;1,7;83,9
"27";"Cha";"ASV_51_Picochlorum_sp.";FALSE;27;42;0,3;-0,4;0,9;99,8;1,6;87,1
"28";"Cha";"ASV_577_Chlorodendrales_XX_sp.";FALSE;28;14;0,1;-0,1;0,3;99,9;1,1;90,3
"29";"Cha";"ASV_1388_Chloropicon_roscoffensis";FALSE;29;7;0;0;0,1;99,9;0,8;93,5
"30";"Cha";"ASV_2601_Chloroparvula_B3_sp.";FALSE;30;6;0;0;0,1;100;0,8;96,8
"31";"Cha";"ASV_2202_Non_Assigned";FALSE;31;4;0;0;0,1;100;0,6;100
"32";"Fla";"ASV_30_Picochlorum_sp.";TRUE;1;2819;12,1;8,9;15,3;12,1;3,5;3,2
"33";"Fla";"ASV_29_Chloroparvula_pacifica";TRUE;2;2576;11,1;8,6;13,5;23,1;3,4;6,5
"34";"Fla";"ASV_51_Picochlorum_sp.";TRUE;3;2095;9;7,1;10,9;32,1;3,3;9,7
"35";"Fla";"ASV_59_Picochlorum_sp.";TRUE;4;1943;8,3;6,6;10,1;40,5;3,3;12,9
"36";"Fla";"ASV_48_Chloroparvula_pacifica";TRUE;5;1858;8;6,4;9,5;48,4;3,3;16,1
"37";"Fla";"ASV_56_Chloroparvula_pacifica";TRUE;6;1817;7,8;5,7;9,9;56,2;3,3;19,4
"38";"Fla";"ASV_60_Pycnococcaceae_X_sp.";TRUE;7;1584;6,8;1,8;11,8;63;3,2;22,6
"39";"Fla";"ASV_84_Pycnococcaceae_X_sp.";TRUE;8;1152;4,9;1,2;8,7;68;3,1;25,8
"40";"Fla";"ASV_94_Pycnococcaceae_X_sp.";TRUE;9;1121;4,8;1,2;8,4;72,8;3;29
"41";"Fla";"ASV_65_Chloroparvula_pacifica";TRUE;10;941;4;3;5,1;76,8;3;32,3
"42";"Fla";"ASV_181_Chloropicon_laureae";FALSE;11;941;4;3;5;80,9;3;35,5
"43";"Fla";"ASV_78_Chloroparvula_pacifica";FALSE;12;803;3,4;2,6;4,3;84,3;2,9;38,7
