;names;codes
212;Nitzschia_sp;RCC2986_KT861157
213;Nitzschia_sp;RCC2987_KT861158
214;Nitzschia_sp;RCC2988_KT861159
215;Nitzschia_sp;RCC2989_KT861160
216;Nitzschia_sp;RCC2991_KT861161
217;Fragilariales_sp;RCC3059_KT860960
218;Fragilariales_sp;RCC3061_KT861022
219;Fragilariopsis_sp;RCC4289_KT884473
220;Entomoneis_sp;RCC4487_KT878709
221;Entomoneis_sp;RCC4488_KT878710
222;Rhaphoneis_sp;RCC4494_MH792105
223;Naviculales_sp;RCC4589_KY233130
224;Naviculales_sp;RCC4589_MH843673
225;Naviculales_sp;RCC4595_KY233135
226;Fragilariopsis_sp;RCC4604_KY233144
227;Fragilariopsis_sp;RCC4604_MH843675
228;Fragilariopsis_sp;RCC4608_KY233146
229;Navicula_sp;RCC4611_MH843678
230;Navicula_sp;RCC4611_KY233148
231;Navicula_sp;RCC4611_MH843677
232;Fragilariopsis_sp;RCC4612_KY233149
233;Fragilaria_sp;RCC4616_KY233152
234;Fragilaria_sp;RCC4616_MH843680
235;Cylindrotheca_sp;RCC4796_KY095020
236;Cylindrotheca_sp;RCC4803_KY095010
237;Cylindrotheca_sp;RCC4803_KY095026
238;Cylindrotheca_sp;RCC4806_KY095011
239;Cylindrotheca_sp;RCC4822_KY094999
240;Cylindrotheca_sp;RCC4822_KY095043
241;Cylindrotheca_sp;RCC4823_KY094993
242;Cylindrotheca_sp;RCC4823_KY095044
243;Bacillariophyceae_sp;RCC4829_KY094998
244;Bacillariophyceae_sp;RCC4839_KY095014
245;Nitzschia_sp;RCC4855_KY095003
246;Nitzschia_sp;RCC4856_KY095004
247;Halamphora_sp;RCC5168_MH743117
248;Navicula_sp;RCC5169_MH743118
249;Nitzschia_sp_(in:_Bacillariophyta);RCC5171_MH743120
250;Psammodictyon_sp;RCC5187_MH743127
251;Halamphora_sp;RCC5190_MH743130
252;Naviculales_sp;RCC5197_MH764681
253;Naviculales_sp;RCC5201_MH764685
254;Synedra_sp;RCC5205_MH764688
255;Fragilariopsis_sp;RCC5208_MH764691
256;Naviculales_sp;RCC5213_MH764696
257;Synedra_sp;RCC5217_MH764700
258;Synedra_sp;RCC5218_MH764701
259;Synedra_sp;RCC5220_MH764703
260;Pseudo-nitzschia_sp;RCC5222_MH764704
261;Synedra_sp;RCC5227_MH764708
262;Navicula_sp;RCC5230_MH764711
263;Fragilariopsis_sp;RCC5231_MH764712
264;Pseudo-nitzschia_sp;RCC5232_MH764713
265;Pseudo-nitzschia_sp;RCC5250_MH764731
266;Fragilariopsis_sp;RCC5280_MH764760
267;Synedra_sp;RCC5291_MH764770
268;Pseudo-nitzschia_sp;RCC5299_MH764776
269;Pseudo-nitzschia_sp;RCC5306_MH764782
270;Pseudo-nitzschia_sp;RCC5308_MH764783
271;Pseudo-nitzschia_sp;RCC5321_MH764795
272;Fragilariopsis_sp;RCC5325_MH764798
273;Nitzschia_sp;RCC5343_MH764811
274;Pelagophyceae_sp;RCC5354_MH764820
275;Fragilariopsis_sp;RCC5356_MH764821
276;Fragilariopsis_sp;RCC5361_MH764825
277;Fragilariaceae_sp;RCC5362_MH764826
278;Fragilaria_sp;RCC5365_MH764828
