Species;RCC;Genbank_accession;Keep;Status
Tetraselmis_sp;RCC1755;KT860916;No;NotDistributed
Tetraselmis_sp;RCC1761;KT860726;No;NotDistributed
Tetraselmis_sp;RCC1936;KT860727;No;Lost
Tetraselmis_sp;RCC1942;KT860728;No;Lost
Tetraselmis_sp;RCC1946;KT860729;No;Lost
Tetraselmis_sp;RCC1947;KT860730;No;Lost
Tetraselmis_sp;RCC1949;KT860731;No;Lost
Tetraselmis_sp;RCC1975;KT860790;Yes;Distributed
Tetraselmis_sp;RCC1976;KT860791;Yes;Distributed
Tetraselmis_sp;RCC2604;KT860822;Yes;Distributed
Tetraselmis_sp;RCC2628;KT860824;Yes;Distributed
Tetraselmis_sp;RCC2629;KT860825;Yes;Distributed
Tetraselmis_sp;RCC4435;KX523151;Yes;Distributed
Tetraselmis_sp;RCC479;MH792111;Yes;Distributed
Tetraselmis_sp;RCC4480;KT878702;Yes;Distributed
Tetraselmis_sp;RCC4481;KT878703;Yes;Distributed
Tetraselmis_sp;RCC4484;KT878706;Yes;Distributed
Tetraselmis_sp;RCC4485;KT878707;Yes;Distributed
Tetraselmis_sp;RCC4486;KT878708;Yes;Distributed
Tetraselmis_sp;RCC4489;KT878711;Yes;Distributed
Tetraselmis_sp;RCC4490;KT878712;Yes;Distributed
Tetraselmis_sp;RCC4491;KT878713;Yes;Distributed
Tetraselmis_sp;RCC6047;MK542679;Yes;Distributed
Pycnococcus_provasolii;RCC117;X91264;No;Lost
Pycnococcus_provasolii;RCC135;AF122889;Yes;Distributed
Pycnococcus_sp;RCC345;KT878666;No;Lost
Pycnococcus_provasolii;RCC432;KT860637;Yes;Cryopreserved
Pycnococcus_provasolii;RCC444;KT860639;Yes;Cryopreserved
Pycnococcus_provasolii;RCC459;KT860651;Yes;Cryopreserved
Pycnococcus_provasolii;RCC460;KT860658;Yes;Cryopreserved
Pycnococcus_provasolii;RCC519;KT860670;Yes;Distributed
Pycnococcus_sp;RCC521;MH792100;Yes;Cryopreserved
Pycnococcus_provasolii;RCC522;KT860678;Yes;Cryopreserved
Pycnococcus_provasolii;RCC581;KT860810;Yes;Distributed
Pyramimonas_parkeae;RCC619;KT860881;Yes;Distributed
Pyramimonas_sp;RCC669;KT860677;No;Lost
Pycnococcus_provasolii;RCC709;KT860812;Yes;Cryopreserved
Pycnococcus_provasolii;RCC730;KT860682;Yes;Cryopreserved
Pycnococcus_provasolii;RCC731;KT860684;Yes;Cryopreserved
Pycnococcus_provasolii;RCC733;KT878683;Yes;Distributed
Pycnococcus_provasolii;RCC734;KT860683;Yes;Cryopreserved
Pycnococcus_provasolii;RCC823;KT860693;No;NotDistributed
Pycnococcus_provasolii;RCC885;KT860821;Yes;Distributed
Pycnococcus_provasolii;RCC899;KT860909;Yes;Distributed
Pycnococcus_provasolii;RCC931;EU106778;Yes;Distributed
Pycnococcus_sp;RCC932;EU106779;No;Lost
Pycnococcus_provasolii;RCC1058;EU106838;Yes;Cryopreserved
Pycnococcus_provasolii;RCC1059;EU106839;Yes;Cryopreserved
Pycnococcus_provasolii;RCC1060;EU106840;Yes;Cryopreserved
Pycnococcus_provasolii;RCC1751;KT860725;Yes;Distributed
Pyramimonas_sp;RCC1870;KT860775;No;NotDistributed
Pycnococcus_provasolii;RCC1930;KT860777;No;Cryopreserved
Pycnococcus_provasolii;RCC1931;KT860778;Yes;Distributed
Pyramimonas_sp;RCC1987;JN934670;Yes;Distributed
Pyramimonas_sp;RCC2009;JF794047;No;Lost
Pyramimonas_sp;RCC2015;JF794048;Yes;Distributed
Pyramimonas_sp;RCC2047;KT860756;Yes;Distributed
Pyramimonas_sp;RCC2048;KT860757;Yes;Distributed
Pyramimonas_sp;RCC2260;KT860755;No;NotDistributed
Pyramimonas_sp;RCC2295;KT860800;Yes;Distributed
Pyramimonas_sp;RCC2296;KT860798;Yes;Distributed
Pycnococcus_provasolii;RCC2336;KT860844;Yes;Distributed
Pycnococcus_provasolii;RCC2338;KT860792;Yes;Cryopreserved
Pycnococcus_provasolii;RCC2361;KT860787;Yes;Cryopreserved
Pycnococcus_provasolii;RCC2363;KT860779;No;Lost
Pycnococcus_provasolii;RCC2364;KT860780;Yes;Distributed
Pycnococcus_provasolii;RCC2365;KT860788;Yes;Cryopreserved
Pyramimonas_sp;RCC2500;JN934689;Yes;Distributed
Pyramimonas_sp;RCC2500;KT860922;Yes;Distributed
Pyramimonas_sp;RCC2501;KT860923;Yes;Distributed
Pyramimonas_sp;RCC2502;KT860802;Yes;Distributed
Pyramimonas_sp;RCC2688;KT861321;No;Lost
Pycnococcus_provasolii;RCC3054;KT860831;Yes;Distributed
Pycnococcus_provasolii;RCC3055;KT860845;Yes;Cryopreserved
Pycnococcus_provasolii;RCC3056;KT860846;Yes;Cryopreserved
Pyramimonas_sp;RCC4209;MH792101;Yes;Distributed
Pyramimonas_sp;RCC4212;MH792102;Yes;Distributed
Pyramimonas_sp;RCC4217;MH792103;Yes;Distributed
Pyramimonas_sp;RCC4218;MH792104;Yes;Distributed
Pyramimonas_sp;RCC4636;KX523159;Yes;Distributed
Pyramimonas_sp;RCC4781;KX602213;No;NotDistributed
Pyramimonas_sp;RCC4783;KX602215;Yes;Distributed
Pyramimonas_sp;RCC4805;KY094988;No;Lost
Pyramimonas_diskoicola;RCC5235;MH764716;Yes;Distributed
;RCC5238;MH764719;No;NotFound
Pyramimonas_sp;RCC5240;MH764721;Yes;Distributed
Pyramimonas_sp;RCC5241;MH764722;Yes;Distributed
;RCC5242;MH764723;No;NotFound
Pyramimonas_sp;RCC5244;MH764725;Yes;Distributed
Pyramimonas_sp;RCC5245;MH764726;Yes;Distributed
Pyramimonas_sp;RCC5248;MH764729;Yes;Distributed
Pyramimonas_diskoicola;RCC5249;MH764730;Yes;Distributed
Pyramimonas_sp;RCC5252;MH764733;No;Lost
Pyramimonas_australis;RCC5269;MH764750;Yes;Distributed
Pyramimonas_sp;RCC5279;MH764759;Yes;Distributed
Pyramimonas_sp;RCC5281;MH764761;No;Lost
Pyramimonas_sp;RCC5283;MH764763;Yes;Distributed
Pyramimonas_sp;RCC5284;MH764764;Yes;Distributed
Pyramimonas_diskoicola;RCC5312;MH764787;Yes;Distributed
Pyramimonas_sp;RCC5357;MH764822;Yes;Distributed
Pyramimonas_diskoicola;RCC5358;MH764823;Yes;Distributed
Pyramimonas_sp;RCC5453;MH764901;No;NotDistributed
Pyramimonas_sp;RCC5454;MH764902;Yes;Distributed
Pyramimonas_sp;RCC5455;MH764903;Yes;Distributed
;RCC5457;MH764904;No;NotFound
Pyramimonas_sp;RCC5483;MH764927;No;Lost
Pyramimonas_sp;RCC5516;MH764957;Yes;Distributed
Pyramimonas_diskoicola;RCC5525;MH764966;Yes;Distributed
Pyramimonas_sp;RCC6672;MN604358;Yes;Distributed
Desmochloris_sp;RCC2697;KT860925;Yes;Distributed
Ulvophyceae_XXX_sp;RCC2945;KT860927;Yes;Distributed
Ulvella_sp;RCC2960;KT860928;Yes;Distributed
Ulvophyceae_XXX_sp;RCC2980;KT860840;Yes;Distributed
Ulvophyceae_XXX_sp;RCC2981;KT860841;Yes;Distributed
Ulvophyceae_XXX_sp;RCC4617;KY233153;Yes;Distributed
Ulvophyceae_XXX_sp;RCC4620;KY233156;Yes;Distributed
Ochromonas_triangulata;RCC21;KT860964;Yes;Distributed
Paraphysomonas_sp;RCC383;KT861130;Yes;Distributed
Ochromonas_sp;RCC480;KT861029;Yes;Distributed
Chrysophyceae_XXX_sp;RCC902;KT861139;Yes;Distributed
Paraphysomonas_sp;RCC1066;KT878688;No;Lost
Dinobryon_faculiferum;RCC2290;JF794055;Yes;Distributed
Dinobryon_faculiferum;RCC2293;JN934680;Yes;Distributed
Dinobryon_faculiferum;RCC2294;KT861201;Yes;Distributed
Ochromonas_sp;RCC2350;KT861094;No;Lost
Ochromonas_sp;RCC2350;KT861100;No;Lost
Spumella_sp;RCC4558;KX014632;Yes;Distributed
Dinobryon_faculiferum;RCC5261;MH764742;Yes;Distributed
;RCC5290;MH764769;No;NotFound
Spumella_sp;RCC5412;MH764864;No;Lost
Spumella_sp;RCC5413;MH764865;No;Lost
Spumella_sp;RCC5513;MH764955;No;Lost
Triparma_sp;RCC852;EU106738;No;NotDistributed
Triparma_sp;RCC1657;KF422625;Yes;Distributed
Triparma_eleuthera;RCC1730;KR998400;No;Lost
Triparma_eleuthera;RCC2347;KF422629;No;Lost
;;U14387;No;NotFound
Rhizochromulina_sp;RCC332;KT861105;Yes;Distributed
Rhizochromulina_sp;RCC334;KT861027;No;NotDistributed
Florenciella_parvula;RCC355;KT861162;No;Lost
Mesopedinella_arctica;RCC382;KT861163;No;NotDistributed
Rhizochromulina_sp;RCC389;KT878669;No;Lost
Rhizochromulina_sp;RCC392;KT861164;No;NotDistributed
Florenciella_parvula;RCC446;AY254857;Yes;Distributed
Florenciella_sp;RCC505;AY665991;No;Lost
Rhizochromulina_sp;RCC529;KT861030;No;NotDistributed
Rhizochromulina_sp;RCC534;KT861034;No;NotDistributed
Apedinella_spinifera;RCC665;KT861032;No;Lost
Pseudopedinella_sp;RCC668;KT861033;No;NotDistributed
Rhizochromulina_sp;RCC900;KT860987;No;NotDistributed
Florenciella_sp;RCC1007;EU106829;Yes;Distributed
Florenciella_sp;RCC1007;KT861110;Yes;Distributed
Florenciella_sp;RCC1008;EU106830;No;Lost
Pseudochattonella_verruculosa;RCC1082;KT861064;No;Lost
Florenciella_sp;RCC1587;KF422624;Yes;Distributed
Florenciella_sp;RCC1587;KT861065;Yes;Distributed
Florenciella_sp;RCC1650;KT860989;Yes;Distributed
Florenciella_parvula;RCC1659;KT861058;Yes;Distributed
Florenciella_parvula;RCC1663;KT861059;Yes;Distributed
Florenciella_parvula;RCC1678;KT861060;No;NotDistributed
Florenciella_parvula;RCC1686;KT861061;Yes;Distributed
Florenciella_sp;RCC1693;KF422626;Yes;Distributed
Florenciella_sp;RCC1704;KT860990;Yes;Distributed
Helicopedinella_sp;RCC2283;KT861166;Yes;Distributed
Helicopedinella_sp;RCC2284;KT861167;No;Lost
Pedinella_sp;RCC2286;JN934678;Yes;Distributed
Helicopedinella_sp;RCC2287;KT861168;Yes;Distributed
Helicopedinella_sp;RCC2289;JF794054;Yes;Distributed
Helicopedinella_sp;RCC2291;KT861192;No;NotDistributed
Pedinella_sp;RCC2301;JN934682;Yes;Distributed
Helicopedinella_sp;RCC2302;KT861224;Yes;Distributed
Helicopedinella_sp;RCC2303;KT861194;Yes;Distributed
Dictyochophyceae_XXX_sp;RCC2342;KT861098;Yes;Distributed
Rhizochromulina_sp;RCC2346;KT861099;Yes;Distributed
Rhizochromulina_sp;RCC2354;KT861101;Yes;Distributed
Rhizochromulina_sp;RCC2355;KT861102;Yes;Distributed
Pedinellales_XX_sp;RCC4294;KT884474;Yes;Distributed
Rhizochromulina_sp;RCC4437;KX523153;Yes;Distributed
Rhizochromulina_sp;RCC4438;KX523154;Yes;Distributed
Pedinellales_XX_sp;RCC5264;MH764745;Yes;Distributed
Prasinoderma_coloniale;RCC137;U40920;Yes;Distributed
Prasinoderma_coloniale;RCC672;KT860885;Yes;Distributed
Prasinoderma_coloniale;RCC673;KT860886;Yes;Distributed
Prasinoderma_coloniale;RCC708;KT860685;Yes;Cryopreserved
Prasinoderma_coloniale;RCC710;KT860690;Yes;Cryopreserved
Prasinoderma_coloniale;RCC711;KT860687;Yes;Cryopreserved
Prasinoderma_coloniale;RCC714;KT860814;Yes;Cryopreserved
Prasinoderma_coloniale;RCC854;KT860905;Yes;Cryopreserved
Prasinoderma_coloniale;RCC907;EU106760;No;Lost
Prasinoderma_singularis;RCC910;EU106762;Yes;Cryopreserved
Prasinoderma_coloniale;RCC919;FJ997210;Yes;Distributed
Prasinoderma_coloniale;RCC916;EU106768;Yes;Distributed
Prasinoderma_singularis;RCC927;EU106775;Yes;Distributed
Prasinoderma_singularis;RCC927;FJ997212;Yes;Distributed
Prasinoderma_singularis;RCC928;KT860930;Yes;Distributed
Prasinoderma_singularis;RCC929;EU106776;Yes;Cryopreserved
Prasinoderma_singularis;RCC930;EU106777;Yes;Cryopreserved
Prasinoderma_singularis;RCC933;EU106780;Yes;Cryopreserved
Prasinoderma_singularis;RCC934;EU106781;Yes;Cryopreserved
Prasinoderma_singularis;RCC936;EU106783;Yes;Cryopreserved
Prasinoderma_singularis;RCC941;EU106788;Yes;Cryopreserved
Prasinoderma_singularis;RCC946;EU106792;Yes;Cryopreserved
Prasinoderma_singularis;RCC946;FJ997213;Yes;Cryopreserved
Prasinoderma_coloniale;RCC959;KT860706;Yes;Cryopreserved
Prasinoderma_coloniale;RCC960;KT860735;Yes;Cryopreserved
Prasinoderma_coloniale;RCC961;KT860707;Yes;Cryopreserved
Prasinoderma_singularis;RCC1048;KF422618;Yes;Distributed
Prasinoderma_singularis;RCC1056;KT860931;Yes;Cryopreserved
Prasinoderma_singularis;RCC1057;KT860932;Yes;Cryopreserved
Prasinoderma_coloniale;RCC1957;KT860732;No;Lost
Prasinoderma_coloniale;RCC1967;KT860734;No;Lost
Prasinoderma_coloniale;RCC2686;KT860795;Yes;Distributed
Prasinoderma_coloniale;RCC3066;KT860834;Yes;Distributed
Prasinoderma_coloniale;RCC3068;KT860835;Yes;Cryopreserved
Prasinoderma_coloniale;RCC4432;KX523149;Yes;Cryopreserved
Prasinoderma_coloniale;RCC5186;MH743126;Yes;Distributed
Prasinoderma_coloniale;RCC5188;MH743128;Yes;Distributed
Prasinoderma_coloniale;RCC5189;MH743129;Yes;Distributed
Prasinoderma_singularis;RCC5699;MH764667;Yes;Distributed
Prasinoderma_singularis;RCC5700;MH764668;Yes;Distributed
Prasinoderma_singularis;RCC5718;MH764669;Yes;Distributed
Prasinoderma_singularis;RCC5726;MH764670;Yes;Distributed
Prasinoderma_singularis;RCC5727;MH764671;Yes;Distributed
Chlamydomonas_concordia;RCC1;KT860848;Yes;Distributed
Microglena_reginae;RCC2;KT860849;Yes;Distributed
Dunaliella_sp;RCC5;KT860850;Yes;Distributed
Dunaliella_tertiolecta;RCC6;KT860851;Yes;Distributed
Chlamydomonas_sp;RCC300;KT860660;Yes;Cryopreserved
Chlamydomonas_sp;RCC443;KT860638;Yes;Cryopreserved
Chlamydomonas_sp;RCC666;KT860676;Yes;Distributed
Chlamydomonas_sp;RCC2041;JN934674;Yes;Distributed
Carteria_sp;RCC2487;JN934685;Yes;Distributed
Chlamydomonas_sp;RCC2488;JN934686;Yes;Distributed
Chlamydomonas_sp;RCC2512;KT860764;Yes;Distributed
Chlamydomonas_sp;RCC2607;KT860823;Yes;Distributed
Chlamydomonas_sp;RCC2955;KT860803;Yes;Cryopreserved
Chlamydomonas_sp;RCC4618;KY233154;Yes;Distributed
Dunaliella_sp;RCC5172;MH743121;Yes;Distributed
Dunaliella_sp;RCC5173;MH743122;Yes;Distributed
Chlorophyceae_XXX_sp;RCC5175;MH743124;Yes;Distributed
Chlamydomonas_sp;RCC5267;MH764748;Yes;Distributed
Chlamydomonas_sp;RCC5305;MH764781;Yes;Distributed
Chlamydomonas_sp;RCC5311;MH764786;Yes;Distributed
Chlamydomonas_sp;RCC5335;MH764804;Yes;Distributed
Chlamydomonas_sp;RCC5336;MH764805;Yes;Distributed
Chlamydomonas_sp;RCC5409;MH764862;No;Lost
Chlamydomonas_sp;RCC5410;MH764863;Yes;Distributed
Prorocentrum_cf_dentatum;RCC848;EU106736;No;NotDistributed
Prorocentrum_sp;RCC1012;KT860950;No;NotDistributed
Pelagodinium_bei;RCC1491;KF422623;Yes;Distributed
Pelagodinium_bei;RCC1491;KP843723;Yes;Distributed
Woloszynskia_cincta;RCC2013;JF794059;Yes;Distributed
Thecadinium_sp;RCC2475;KT860953;No;NotDistributed
Dinophyceae_XXX_sp;RCC2479;KT860941;Yes;Distributed
Dinophyceae_XXX_sp;RCC2480;KT860940;Yes;Distributed
Gymnodinium_sp;RCC2545;KT860954;No;Lost
Prorocentrum_sp;RCC2563;KT860948;Yes;Distributed
Scrippsiella_sp;RCC2612;KT860944;Yes;Distributed
Heterocapsa_sp;RCC2616;KT860952;Yes;Distributed
Dinophyceae_XXX_sp;RCC2618;KT860939;No;NotDistributed
Symbiodinium_sp;RCC2640;KT860943;Yes;Distributed
Scrippsiella_sp;RCC2641;KT860946;Yes;Distributed
Scrippsiella_sp;RCC2943;KT860945;Yes;Distributed
Symbiodinium_sp;RCC2965;KT860942;Yes;Distributed
Prorocentrum_sp;RCC2982;KT860949;Yes;Distributed
Amphidinium_sp;RCC2983;KT860956;Yes;Distributed
Amphidinium_sp;RCC2984;KT860955;No;Lost
Brandtodinium_nutricula;RCC3378;KF557500;No;Lost
Brandtodinium_nutricula;RCC3379;KF557499;No;Lost
Brandtodinium_nutricula;RCC3380;KF557494;No;Lost
Brandtodinium_nutricula;RCC3381;KF557495;No;Lost
Brandtodinium_nutricula;RCC3382;KF557496;No;Lost
Brandtodinium_nutricula;RCC3383;KF557491;Yes;Distributed
Brandtodinium_nutricula;RCC3385;KF557492;Yes;Distributed
Brandtodinium_nutricula;RCC3387;KF557498;Yes;Distributed
Brandtodinium_nutricula;RCC3388;KF557493;Yes;Distributed
Heterocapsa_triquetra;RCC4794;KY095018;No;Lost
Brandtodinium_nutricula;RCC3388;KF557493;Yes;Distributed
Heterocapsa_triquetra;RCC4800;KY095023;No;Lost
Heterocapsa_rotundata;RCC4804;KY094994;Yes;Cryopreserved
Heterocapsa_rotundata;RCC4804;KY095027;Yes;Cryopreserved
Heterocapsa_triquetra;RCC4813;KY095034;No;Lost
Heterocapsa_triquetra;RCC4815;KY095036;No;Lost
Heterocapsa_rotundata;RCC4846;KY094990;Yes;Cryopreserved
Heterocapsa_rotundata;RCC4846;KY095061;Yes;Cryopreserved
Prorocentrum_sp;RCC5194;MH743133;Yes;Distributed
Heterocapsaceae_X_sp;RCC5195;MH743134;Yes;Distributed
Biecheleria_sp;RCC5518;MH764959;Yes;Distributed
Biecheleria_sp;RCC5520;MH764961;Yes;Distributed
Biecheleria_sp;RCC5521;MH764962;No;Lost
Biecheleria_sp;RCC5522;MH764963;Yes;Distributed
Prorocentrum_sp;RCC5648;MH764672;Yes;Distributed
Prorocentrum_sp;RCC5671;MH764673;No;Lost
Prorocentrum_sp;RCC5703;MH764674;No;Lost
Prorocentrum_sp;RCC5704;MH764675;No;Lost
Prorocentrum_sp;RCC5705;MH764676;No;Lost
Karenia_sp;RCC5706;MH764626;No;Lost
Aurantiochytrium_mangrovei;RCC893;AB973565;Yes;Distributed
Bathycoccus_prasinos;RCC419;KT860591;Yes;Distributed
Bathycoccus_prasinos;RCC2486;;Yes;Distributed
Micromonas_pusilla;RCC2482;;Yes;Distributed
