Species;RCC;Genbank_accession;Keep;Status
Emiliania_huxleyi;RCC1763;KT861273;Yes;Cryopreserved
Emiliania_huxleyi;RCC1764;KT861274;Yes;Cryopreserved
Phaeocystis_globosa;RCC1869;KT861298;Yes;Distributed
Phaeocystis_globosa;RCC1933;KT861292;No;NotDistributed
Prymnesium_sp;RCC1941;KT861317;No;Lost
Prymnesium_sp;RCC1948;KT861318;No;Lost
Isochrysis_sp;RCC1956;KT861289;No;Lost
Ochrosphaera_neapolitana;RCC1963;KT861234;No;Lost
Ochrosphaera_neapolitana;RCC1964;KT861235;No;Lost
Ochrosphaera_neapolitana;RCC1965;KT861236;No;Lost
Ochrosphaera_neapolitana;RCC1966;KT861237;No;Lost
Hymenomonas_coronata;RCC1971;KT861233;No;Lost
Dicrateria_rotunda;RCC2298;JN934681;Yes;Distributed
Haptolina_hirta;RCC2299;KT861303;Yes;Distributed
Haptolina_hirta;RCC2300;JF794056;Yes;Distributed
Haptolina_hirta;RCC2300;JF812342;Yes;Distributed
Chrysolita_sp;RCC2476;KT861250;No;NotDistributed
Isochrysis_nuda;RCC2477;KT861287;No;NotDistributed
Dicrateria_rotunda;RCC2504;KT861308;No;NotFound
Emiliania_huxleyi;RCC2611;KT861275;Yes;Distributed
Emiliania_huxleyi;RCC2615;KT861276;Yes;Distributed
Emiliania_huxleyi;RCC2620;KT861277;Yes;Distributed
Emiliania_huxleyi;RCC2621;KT861278;Yes;Cryopreserved
Emiliania_huxleyi;RCC2632;KT861279;Yes;Cryopreserved
Emiliania_huxleyi;RCC2633;KT861319;No;Lost
Emiliania_huxleyi;RCC2634;KT861280;Yes;Cryopreserved
Emiliania_huxleyi;RCC2635;KT861281;Yes;Cryopreserved
Emiliania_huxleyi;RCC2637;KT861282;Yes;Cryopreserved
Emiliania_huxleyi;RCC2639;KT861283;Yes;Cryopreserved
Ochrosphaera_neapolitana;RCC2690;KT861238;Yes;Distributed
Ochrosphaera_neapolitana;RCC2691;KT861239;Yes;Distributed
Isochrysis_sp;RCC2692;KT861290;Yes;Distributed
Ochrosphaera_neapolitana;RCC2698;KT861240;Yes;Distributed
Emiliania_huxleyi;RCC2937;KT861284;Yes;Cryopreserved
Emiliania_huxleyi;RCC2938;KT861285;Yes;Cryopreserved
Emiliania_huxleyi;RCC2941;KT861286;Yes;Cryopreserved
Ochrosphaera_neapolitana;RCC2954;KT861241;Yes;Distributed
Ochrosphaera_sp;RCC2959;KT861242;Yes;Distributed
Ochrosphaera_neapolitana;RCC2970;KT861243;Yes;Distributed
Ochrosphaera_neapolitana;RCC2971;KT861244;Yes;Distributed
Ochrosphaera_neapolitana;RCC2972;KT861245;Yes;Distributed
Ochrosphaera_neapolitana;RCC2973;KT861246;Yes;Distributed
Ochrosphaera_neapolitana;RCC2974;KT861247;Yes;Distributed
Ochrosphaera_neapolitana;RCC2975;KT861248;Yes;Distributed
Ochrosphaera_neapolitana;RCC2976;KT861249;Yes;Distributed
Cruciplacolithus_neohelis;RCC2977;KT861231;Yes;Distributed
Cruciplacolithus_neohelis;RCC2978;KT861232;Yes;Distributed
Dicrateria_rotunda;RCC3050;KT861316;No;Lost
Gephyrocapsa_ericsonii;RCC4032;KX056532;Yes;Distributed
Reticulofenestra_parvula;RCC4033;KX056533;Yes;Distributed
Reticulofenestra_parvula;RCC4034;KX056534;Yes;Distributed
Reticulofenestra_parvula;RCC4035;KX056535;Yes;Distributed
Reticulofenestra_parvula;RCC4036;KX056536;Yes;Distributed
Isochrysis_sp;RCC4207;MH792074;Yes;Distributed
Chrysochromulina_sp;RCC4210;MH792070;Yes;Distributed
Dicrateria_rotunda;RCC4214;MH792071;Yes;Distributed
Dicrateria_rotunda;RCC4426;KX523145;Yes;Distributed
Emiliania_huxleyi;RCC4443;KX523158;Yes;Distributed
Dicrateria_rotunda;RCC4452;KT878691;No;Lost
Dicrateria_rotunda;RCC4477;KT878700;Yes;Distributed
Dicrateria_rotunda;RCC4478;KT878701;Yes;Distributed
Emiliania_huxleyi;RCC4498;MH792072;Yes;Distributed
Phaeocystis_sp;RCC4499;MH792078;Yes;Distributed
Dicrateria_rotunda;RCC4500;KT884462;Yes;Distributed
Dicrateria_rotunda;RCC4501;KT884464;Yes;Distributed
Emiliania_huxleyi;RCC4549;KX014628;Yes;Distributed
Emiliania_huxleyi;RCC4560;KX014634;Yes;Distributed
Emiliania_huxleyi;RCC4567;KX014640;No;NotFound
Dicrateria_rotunda;RCC4575;KX014646;Yes;Distributed
Dicrateria_rotunda;RCC4576;KX014647;Yes;Distributed
Dicrateria_rotunda;RCC4577;KX014648;Yes;Distributed
Dicrateria_rotunda;RCC4578;KX014649;Yes;Distributed
Phaeocystis_globosa;RCC4579;KX014650;No;Lost
Phaeocystis_globosa;RCC4639;KX523160;No;NotDistributed
Phaeocystis_globosa;RCC4640;KX523161;Yes;Distributed
Phaeocystis_globosa;RCC4641;KX523162;Yes;Distributed
Phaeocystis_globosa;RCC4642;KX523163;Yes;Distributed
Dicrateria_rotunda;RCC4644;KX523164;No;Lost
Dicrateria_rotunda;RCC4780;KX602212;Yes;Distributed
Phaeocystis_sp;RCC4814;KY095035;Yes;Distributed
Phaeocystis_sp;RCC4818;KY095039;Yes;Distributed
Pseudohaptolina_sorokinii;RCC5268;MH764749;Yes;Distributed
Pseudohaptolina_sorokinii;RCC5270;MH764751;Yes;Distributed
Pseudohaptolina_sorokinii;RCC5270;MT311519;Yes;Distributed
Isochrysis_galbana;RCC5353;MH764819;Yes;Distributed
Isochrysis_sp;RCC5486;MH764930;Yes;Distributed
Isochrysis_galbana;RCC5487;MH764931;Yes;Distributed
Dicrateria_sp;RCC5635;MH764620;No;Lost
Dicrateria_sp;RCC5636;MH764621;Yes;Distributed
Dicrateria_sp;RCC5637;MH764622;Yes;Distributed
Dicrateria_sp;RCC5638;MH764623;No;Lost
Dicrateria_sp;RCC5639;MH764624;Yes;Distributed
Phaeocystis_sp;RCC5646;MH764663;Yes;Distributed
Phaeocystis_sp;RCC5647;MH764664;No;Lost
Emiliania_huxleyi;RCC5653;MH764614;Yes;Distributed
Emiliania_huxleyi;RCC5654;MH764615;Yes;Distributed
Emiliania_huxleyi;RCC5656;MH764619;Yes;Distributed
Dicrateria_sp;RCC5657;MH764625;No;Lost
Emiliania_huxleyi;RCC5663;MH764616;Yes;Distributed
Phaeocystis_sp;RCC5680;MH764665;Yes;Distributed
Phaeocystis_sp;RCC5682;MH764666;Yes;Distributed
Emiliania_huxleyi;RCC5689;MH764617;Yes;Distributed
Emiliania_huxleyi;RCC5723;MH764618;Yes;Distributed
Phaeocystis_globosa;RCC6045;MK542677;Yes;Distributed
Emiliania_huxleyi;RCC6052;MK542682;Yes;Distributed
Emiliania_huxleyi;RCC6071;MK542696;Yes;Distributed
Emiliania_huxleyi;RCC6133;MN121040;Yes;Distributed
Umbilicosphaera_foliosa;RCC6252;MN604364;Yes;Distributed
Umbilicosphaera_foliosa;RCC6255;MN604365;Yes;Distributed
Calyptrosphaera_sp;RCC6258;MN604348;Yes;Distributed
Umbilicosphaera_foliosa;RCC6261;MN604366;No;Lost
Calyptrosphaera_sp;RCC6262;MN604349;Yes;Distributed
Prymnesium_sp;RCC6265;MN604353;Yes;Distributed
Prymnesium_sp;RCC6268;MN604354;Yes;Distributed
Calyptrosphaera_sp;RCC6270;MN604350;Yes;Distributed
Calyptrosphaera_sp;RCC6271;MN604351;Yes;Distributed
Umbilicosphaera_foliosa;RCC6275;MN604367;No;Lost
Emiliania_huxleyi;RCC6277;MN604335;Yes;Distributed
Emiliania_huxleyi;RCC6278;MN604336;Yes;Distributed
Calyptrosphaera_sp;RCC6294;MN604332;Yes;Distributed
Prymnesium_sp;RCC6295;MN604355;Yes;Distributed
Prymnesium_sp;RCC6296;MN604356;Yes;Distributed
Prymnesium_sp;RCC6298;MN604357;No;NotDistributed
Phaeocystis_sp;RCC6665;MN604338;Yes;Distributed
Prymnesium_polylepis;RCC6738;MN604352;Yes;Distributed
Emiliania_huxleyi;RCC6856;MN824007;Yes;Distributed
Aerococcus_anophagefferens;RCC96;AF118443;Yes;Distributed
Pelagococcus_subviridis;RCC98;U14386;No;Lost
Pelagomonas_calceolata;RCC100;U14389;Yes;Distributed
Pelagomonas_calceolata;RCC108;KT860968;Yes;Distributed
Chrysoreinhardia_giraudii;RCC112;U78033;Yes;Distributed
Pelagomonas_calceolata;RCC341;KT861165;Yes;Distributed
Pelagomonas_calceolata;RCC518;KT860974;Yes;Cryopreserved
Pelagomonas_calceolata;RCC697;KT860978;Yes;Distributed
Pelagomonas_calceolata;RCC698;KT861135;Yes;Distributed
Pelagomonas_calceolata;RCC699;KT861136;Yes;Distributed
Pelagomonas_calceolata;RCC706;KT861037;Yes;Distributed
Pelagomonadales_clade_B_X_sp;RCC707;KT861038;Yes;Distributed
Pelagomonadales_clade_B_X_sp;RCC732;KT861035;Yes;Distributed
