"";"Species";"RCC";"Genbank_accession";"Keep";"Status"
"1276";"Pedinella_sp";"RCC2286";"JN934678";"Yes";"Distributed"
"1277";"Helicopedinella_sp";"RCC2287";"KT861168";"Yes";"Distributed"
"1278";"Helicopedinella_sp";"RCC2289";"JF794054";"Yes";"Distributed"
"1279";"Helicopedinella_sp";"RCC2291";"KT861192";"No";"NotDistributed"
"1280";"Pedinella_sp";"RCC2301";"JN934682";"Yes";"Distributed"
"1281";"Helicopedinella_sp";"RCC2302";"KT861224";"Yes";"Distributed"
"1282";"Helicopedinella_sp";"RCC2303";"KT861194";"Yes";"Distributed"
"1283";"Dictyochophyceae_XXX_sp";"RCC2342";"KT861098";"Yes";"Distributed"
"1284";"Rhizochromulina_sp";"RCC2346";"KT861099";"Yes";"Distributed"
"1285";"Rhizochromulina_sp";"RCC2354";"KT861101";"Yes";"Distributed"
"1286";"Rhizochromulina_sp";"RCC2355";"KT861102";"Yes";"Distributed"
"1287";"Pedinellales_XX_sp";"RCC4294";"KT884474";"Yes";"Distributed"
"1288";"Rhizochromulina_sp";"RCC4437";"KX523153";"Yes";"Distributed"
"1289";"Rhizochromulina_sp";"RCC4438";"KX523154";"Yes";"Distributed"
"1290";"Pedinellales_XX_sp";"RCC5264";"MH764745";"Yes";"Distributed"
"1291";"Prasinoderma_coloniale";"RCC137";"U40920";"Yes";"Distributed"
"1292";"Prasinoderma_coloniale";"RCC672";"KT860885";"Yes";"Distributed"
"1293";"Prasinoderma_coloniale";"RCC673";"KT860886";"Yes";"Distributed"
"1294";"Prasinoderma_coloniale";"RCC708";"KT860685";"Yes";"Cryopreserved"
"1295";"Prasinoderma_coloniale";"RCC710";"KT860690";"Yes";"Cryopreserved"
"1296";"Prasinoderma_coloniale";"RCC711";"KT860687";"Yes";"Cryopreserved"
"1297";"Prasinoderma_coloniale";"RCC714";"KT860814";"Yes";"Cryopreserved"
"1298";"Prasinoderma_coloniale";"RCC854";"KT860905";"Yes";"Cryopreserved"
"1299";"Prasinoderma_coloniale";"RCC907";"EU106760";"No";"Lost"
"1300";"Prasinoderma_singularis";"RCC910";"EU106762";"Yes";"Cryopreserved"
"1301";"Prasinoderma_coloniale";"RCC919";"FJ997210";"Yes";"Distributed"
"1302";"Prasinoderma_coloniale";"RCC916";"EU106768";"Yes";"Distributed"
"1303";"Prasinoderma_singularis";"RCC927";"EU106775";"Yes";"Distributed"
"1304";"Prasinoderma_singularis";"RCC927";"FJ997212";"Yes";"Distributed"
"1305";"Prasinoderma_singularis";"RCC928";"KT860930";"Yes";"Distributed"
"1306";"Prasinoderma_singularis";"RCC929";"EU106776";"Yes";"Cryopreserved"
"1307";"Prasinoderma_singularis";"RCC930";"EU106777";"Yes";"Cryopreserved"
"1308";"Prasinoderma_singularis";"RCC933";"EU106780";"Yes";"Cryopreserved"
"1309";"Prasinoderma_singularis";"RCC934";"EU106781";"Yes";"Cryopreserved"
"1310";"Prasinoderma_singularis";"RCC936";"EU106783";"Yes";"Cryopreserved"
"1311";"Prasinoderma_singularis";"RCC941";"EU106788";"Yes";"Cryopreserved"
"1312";"Prasinoderma_singularis";"RCC946";"EU106792";"Yes";"Cryopreserved"
"1313";"Prasinoderma_singularis";"RCC946";"FJ997213";"Yes";"Cryopreserved"
"1314";"Prasinoderma_coloniale";"RCC959";"KT860706";"Yes";"Cryopreserved"
"1315";"Prasinoderma_coloniale";"RCC960";"KT860735";"Yes";"Cryopreserved"
"1316";"Prasinoderma_coloniale";"RCC961";"KT860707";"Yes";"Cryopreserved"
"1317";"Prasinoderma_singularis";"RCC1048";"KF422618";"Yes";"Distributed"
"1318";"Prasinoderma_singularis";"RCC1056";"KT860931";"Yes";"Cryopreserved"
"1319";"Prasinoderma_singularis";"RCC1057";"KT860932";"Yes";"Cryopreserved"
"1320";"Prasinoderma_coloniale";"RCC1957";"KT860732";"No";"Lost"
"1321";"Prasinoderma_coloniale";"RCC1967";"KT860734";"No";"Lost"
"1322";"Prasinoderma_coloniale";"RCC2686";"KT860795";"Yes";"Distributed"
"1323";"Prasinoderma_coloniale";"RCC3066";"KT860834";"Yes";"Distributed"
"1324";"Prasinoderma_coloniale";"RCC3068";"KT860835";"Yes";"Cryopreserved"
"1325";"Prasinoderma_coloniale";"RCC4432";"KX523149";"Yes";"Cryopreserved"
"1326";"Prasinoderma_coloniale";"RCC5186";"MH743126";"Yes";"Distributed"
"1327";"Prasinoderma_coloniale";"RCC5188";"MH743128";"Yes";"Distributed"
"1328";"Prasinoderma_coloniale";"RCC5189";"MH743129";"Yes";"Distributed"
"1329";"Prasinoderma_singularis";"RCC5699";"MH764667";"Yes";"Distributed"
"1330";"Prasinoderma_singularis";"RCC5700";"MH764668";"Yes";"Distributed"
"1331";"Prasinoderma_singularis";"RCC5718";"MH764669";"Yes";"Distributed"
"1332";"Prasinoderma_singularis";"RCC5726";"MH764670";"Yes";"Distributed"
"1333";"Prasinoderma_singularis";"RCC5727";"MH764671";"Yes";"Distributed"
"1334";"Chlamydomonas_concordia";"RCC1";"KT860848";"Yes";"Distributed"
"1335";"Microglena_reginae";"RCC2";"KT860849";"Yes";"Distributed"
"1336";"Dunaliella_sp";"RCC5";"KT860850";"Yes";"Distributed"
"1337";"Dunaliella_tertiolecta";"RCC6";"KT860851";"Yes";"Distributed"
"1338";"Chlamydomonas_sp";"RCC300";"KT860660";"Yes";"Cryopreserved"
"1339";"Chlamydomonas_sp";"RCC443";"KT860638";"Yes";"Cryopreserved"
"1340";"Chlamydomonas_sp";"RCC666";"KT860676";"Yes";"Distributed"
"1341";"Chlamydomonas_sp";"RCC2041";"JN934674";"Yes";"Distributed"
"1342";"Carteria_sp";"RCC2487";"JN934685";"Yes";"Distributed"
"1343";"Chlamydomonas_sp";"RCC2488";"JN934686";"Yes";"Distributed"
"1344";"Chlamydomonas_sp";"RCC2512";"KT860764";"Yes";"Distributed"
"1345";"Chlamydomonas_sp";"RCC2607";"KT860823";"Yes";"Distributed"
"1346";"Chlamydomonas_sp";"RCC2955";"KT860803";"Yes";"Cryopreserved"
"1347";"Chlamydomonas_sp";"RCC4618";"KY233154";"Yes";"Distributed"
"1348";"Dunaliella_sp";"RCC5172";"MH743121";"Yes";"Distributed"
"1349";"Dunaliella_sp";"RCC5173";"MH743122";"Yes";"Distributed"
"1350";"Chlorophyceae_XXX_sp";"RCC5175";"MH743124";"Yes";"Distributed"
"1351";"Chlamydomonas_sp";"RCC5267";"MH764748";"Yes";"Distributed"
"1352";"Chlamydomonas_sp";"RCC5305";"MH764781";"Yes";"Distributed"
"1353";"Chlamydomonas_sp";"RCC5311";"MH764786";"Yes";"Distributed"
"1354";"Chlamydomonas_sp";"RCC5335";"MH764804";"Yes";"Distributed"
"1355";"Chlamydomonas_sp";"RCC5336";"MH764805";"Yes";"Distributed"
"1356";"Chlamydomonas_sp";"RCC5409";"MH764862";"No";"Lost"
"1357";"Chlamydomonas_sp";"RCC5410";"MH764863";"Yes";"Distributed"
"1358";"Prorocentrum_cf_dentatum";"RCC848";"EU106736";"No";"NotDistributed"
"1359";"Prorocentrum_sp";"RCC1012";"KT860950";"No";"NotDistributed"
"1360";"Pelagodinium_bei";"RCC1491";"KF422623";"Yes";"Distributed"
"1361";"Pelagodinium_bei";"RCC1491";"KP843723";"Yes";"Distributed"
"1362";"Woloszynskia_cincta";"RCC2013";"JF794059";"Yes";"Distributed"
"1363";"Thecadinium_sp";"RCC2475";"KT860953";"No";"NotDistributed"
"1364";"Dinophyceae_XXX_sp";"RCC2479";"KT860941";"Yes";"Distributed"
"1365";"Dinophyceae_XXX_sp";"RCC2480";"KT860940";"Yes";"Distributed"
"1366";"Gymnodinium_sp";"RCC2545";"KT860954";"No";"Lost"
"1367";"Prorocentrum_sp";"RCC2563";"KT860948";"Yes";"Distributed"
"1368";"Scrippsiella_sp";"RCC2612";"KT860944";"Yes";"Distributed"
"1369";"Heterocapsa_sp";"RCC2616";"KT860952";"Yes";"Distributed"
"1370";"Dinophyceae_XXX_sp";"RCC2618";"KT860939";"No";"NotDistributed"
"1371";"Symbiodinium_sp";"RCC2640";"KT860943";"Yes";"Distributed"
"1372";"Scrippsiella_sp";"RCC2641";"KT860946";"Yes";"Distributed"
"1373";"Scrippsiella_sp";"RCC2943";"KT860945";"Yes";"Distributed"
"1374";"Symbiodinium_sp";"RCC2965";"KT860942";"Yes";"Distributed"
"1375";"Prorocentrum_sp";"RCC2982";"KT860949";"Yes";"Distributed"
"1376";"Amphidinium_sp";"RCC2983";"KT860956";"Yes";"Distributed"
"1377";"Amphidinium_sp";"RCC2984";"KT860955";"No";"Lost"
"1378";"Brandtodinium_nutricula";"RCC3378";"KF557500";"No";"Lost"
"1379";"Brandtodinium_nutricula";"RCC3379";"KF557499";"No";"Lost"
"1380";"Brandtodinium_nutricula";"RCC3380";"KF557494";"No";"Lost"
"1381";"Brandtodinium_nutricula";"RCC3381";"KF557495";"No";"Lost"
"1382";"Brandtodinium_nutricula";"RCC3382";"KF557496";"No";"Lost"
"1383";"Brandtodinium_nutricula";"RCC3383";"KF557491";"Yes";"Distributed"
"1384";"Brandtodinium_nutricula";"RCC3385";"KF557492";"Yes";"Distributed"
"1385";"Brandtodinium_nutricula";"RCC3387";"KF557498";"Yes";"Distributed"
"1386";"Brandtodinium_nutricula";"RCC3388";"KF557493";"Yes";"Distributed"
"1387";"Heterocapsa_triquetra";"RCC4794";"KY095018";"No";"Lost"
"1388";"Brandtodinium_nutricula";"RCC3388";"KF557493";"Yes";"Distributed"
"1389";"Heterocapsa_triquetra";"RCC4800";"KY095023";"No";"Lost"
"1390";"Heterocapsa_rotundata";"RCC4804";"KY094994";"Yes";"Cryopreserved"
"1391";"Heterocapsa_rotundata";"RCC4804";"KY095027";"Yes";"Cryopreserved"
"1392";"Heterocapsa_triquetra";"RCC4813";"KY095034";"No";"Lost"
"1393";"Heterocapsa_triquetra";"RCC4815";"KY095036";"No";"Lost"
"1394";"Heterocapsa_rotundata";"RCC4846";"KY094990";"Yes";"Cryopreserved"
"1395";"Heterocapsa_rotundata";"RCC4846";"KY095061";"Yes";"Cryopreserved"
"1396";"Prorocentrum_sp";"RCC5194";"MH743133";"Yes";"Distributed"
"1397";"Heterocapsaceae_X_sp";"RCC5195";"MH743134";"Yes";"Distributed"
"1398";"Biecheleria_sp";"RCC5518";"MH764959";"Yes";"Distributed"
"1399";"Biecheleria_sp";"RCC5520";"MH764961";"Yes";"Distributed"
"1400";"Biecheleria_sp";"RCC5521";"MH764962";"No";"Lost"
"1401";"Biecheleria_sp";"RCC5522";"MH764963";"Yes";"Distributed"
"1402";"Prorocentrum_sp";"RCC5648";"MH764672";"Yes";"Distributed"
"1403";"Prorocentrum_sp";"RCC5671";"MH764673";"No";"Lost"
"1404";"Prorocentrum_sp";"RCC5703";"MH764674";"No";"Lost"
"1405";"Prorocentrum_sp";"RCC5704";"MH764675";"No";"Lost"
"1406";"Prorocentrum_sp";"RCC5705";"MH764676";"No";"Lost"
"1407";"Karenia_sp";"RCC5706";"MH764626";"No";"Lost"
"1408";"Aurantiochytrium_mangrovei";"RCC893";"AB973565";"Yes";"Distributed"
"1409";"Bathycoccus_prasinos";"RCC419";"KT860591";"Yes";"Distributed"
"1410";"Bathycoccus_prasinos";"RCC2486";"";"Yes";"Distributed"
"1411";"Micromonas_pusilla";"RCC2482";"";"Yes";"Distributed"
