"";"Species";"RCC";"Genbank_accession";"Keep";"Status"
"1024";"Pelagomonas_calceolata";"RCC4561";"KX014635";"Yes";"Distributed"
"1025";"";"RCC4562";"KX014636";"No";"NotFound"
"1026";"";"RCC4563";"KX014637";"No";"NotFound"
"1027";"Pelagomonas_calceolata";"RCC4564";"KX014638";"Yes";"Distributed"
"1028";"Pelagomonas_calceolata";"RCC4566";"KX014639";"Yes";"Distributed"
"1029";"Andersenia_nodulosa";"RCC4632";"KP178602";"Yes";"Distributed"
"1030";"Pelagomonas_calceolata";"RCC4647";"KX523165";"Yes";"Distributed"
"1031";"Pelagomonas_calceolata";"RCC4648";"KX523166";"Yes";"Distributed"
"1032";"Pelagomonas_calceolata";"RCC4649";"KX523167";"Yes";"Distributed"
"1033";"Pelagophyceae_XXX_sp";"RCC4650";"KX523168";"Yes";"Distributed"
"1034";"Ankylochrysis_sp1";"RCC4782";"KX602214";"Yes";"Distributed"
"1035";"Ankylochrysis_sp";"RCC5251";"MH764732";"Yes";"Distributed"
"1036";"Ankylochrysis_sp";"RCC5254";"MH764735";"Yes";"Distributed"
"1037";"Ankylochrysis_sp";"RCC5256";"MH764737";"Yes";"Distributed"
"1038";"Pelagomonadales_clade_B_X_sp";"RCC5271";"MH764752";"Yes";"Distributed"
"1039";"Ankylochrysis_sp";"RCC5276";"MH764756";"Yes";"Distributed"
"1040";"Ankylochrysis_sp";"RCC5277";"MH764757";"Yes";"Distributed"
"1041";"Ankylochrysis_sp1";"RCC5282";"MH764762";"Yes";"Distributed"
"1042";"Ankylochrysis_sp";"RCC5288";"MH764767";"Yes";"Distributed"
"1043";"Ankylochrysis_sp";"RCC5292";"MH764771";"Yes";"Distributed"
"1044";"Ankylochrysis_sp";"RCC5300";"MH764777";"Yes";"Distributed"
"1045";"Ankylochrysis_sp";"RCC5330";"MH764803";"Yes";"Distributed"
"1046";"Ankylochrysis_sp";"RCC5450";"MH764898";"Yes";"Distributed"
"1047";"Ankylochrysis_sp";"RCC5451";"MH764899";"No";"NotDistributed"
"1048";"Ankylochrysis_sp";"RCC5452";"MH764900";"No";"Lost"
"1049";"Pelagomonadales_clade_A1_sp";"RCC5488";"MH764932";"Yes";"Distributed"
"1050";"Ankylochrysis_sp";"RCC5563";"MH765000";"No";"Lost"
"1051";"Pelagococcus_subviridis";"RCC5640";"MH764628";"Yes";"Distributed"
"1052";"Pelagococcus_subviridis";"RCC5641";"MH764629";"Yes";"Distributed"
"1053";"Pelagococcus_sp";"RCC5642";"MH764630";"Yes";"Distributed"
"1054";"Pelagococcus_subviridis";"RCC5643";"MH764631";"Yes";"Distributed"
"1055";"Pelagococcus_subviridis";"RCC5644";"MH764632";"Yes";"Distributed"
"1056";"Pelagococcus_sp";"RCC5645";"MH764633";"Yes";"Distributed"
"1057";"Pelagococcus_subviridis";"RCC5658";"MH764634";"Yes";"Distributed"
"1058";"Pelagococcus_subviridis";"RCC5659";"MH764635";"Yes";"Distributed"
"1059";"Pelagococcus_sp";"RCC5660";"MH764636";"Yes";"Distributed"
"1060";"Pelagococcus_sp";"RCC5661";"MH764637";"Yes";"Distributed"
"1061";"Pelagococcus_sp";"RCC5664";"MH764638";"Yes";"Distributed"
"1062";"Pelagococcus_sp";"RCC5665";"MH764639";"Yes";"Distributed"
"1063";"Pelagococcus_sp";"RCC5666";"MH764640";"Yes";"Distributed"
"1064";"Pelagomonadales_clade_B_X_sp";"RCC5667";"MH764641";"Yes";"Distributed"
"1065";"Pelagomonadaceae_clade_D2_sp";"RCC5668";"MH764651";"Yes";"Distributed"
"1066";"Pelagomonadaceae_clade_D2_sp";"RCC5669";"MH764652";"Yes";"Distributed"
